Service_Month,Index_Stays,Readmission_Stays,Readmission_Rate,Service_Month_Date,Import_Note,Review_Status,Batch_ID
Jul-14,"773,951","138,414",17.86,2014-07-01,Imported from legacy system,Pending,1078
Nov-08,"809,180","152,846",18.79,2008-11-01,Imported from legacy system,Pending,1010
 May-08 ,"893,809","168,860",18.94, 2008-05-01 ,Imported from legacy system,Pending,1004
 Jan-15 ,"873,673","153,700",17.59, 2015-01-01 ,Imported from legacy system,Pending,1084
 May-13 ,"827,477","147,583",17.72, 2013-05-01 ,Imported from legacy system,Pending,1064
 Sep-13 ,"748,034","131,179",17.83, 2013-09-01 ,Imported from legacy system,Pending,1068
Jul-10,"859,616","163,480",19.21,2010-07-01,Imported from legacy system,Pending,1030
Oct-11,"843,049","155,792",18.84,2011-10-01,Imported from legacy system,Pending,1045
 jan-16 ,"795,097","139,270",17.52, 2016-01-01 ,Imported from legacy system,Pending,1096
dec-08,"876,942","171,304",18.89,2008-12-01,Imported from legacy system,Pending,1011
Aug-14,"762,879","135,873",17.88,2014-08-01,Imported from legacy system,Pending,1079
 Sep-14 ,"747,180","132,855",17.81, 2014-09-01 ,Imported from legacy system,Pending,1080
 Jan-08 ,"935,886","181,225",19.36, 2008-01-01 ,Imported from legacy system,Pending,1000
oct-14,"795,847","138,966",17.78,2014-10-01,Imported from legacy system,Pending,1081
Jul-09,"860,252","162,771",19.05,2009-07-01,Imported from legacy system,Pending,1018
Nov-13,"749,715","130,969",17.38,2013-11-01,Imported from legacy system,Pending,1070
 sep-12 ,"778,407","140,489",18.28, 2012-09-01 ,Imported from legacy system,Pending,1056
 JAN-14 ,"838,098","148,911",18.21, 2014-01-01 ,Imported from legacy system,Pending,1072
 Sep-08 ,"817,662","155,218",18.91, 2008-09-01 ,Imported from legacy system,Pending,1008
JUL-11,"828,706","156,830",18.85,2011-07-01,Imported from legacy system,Pending,1042
 JAN-09 ,"906,141","173,816",19.53, 2009-01-01 ,Imported from legacy system,Pending,1012
 jan-11 ,"908,858","172,361",19.44, 2011-01-01 ,Imported from legacy system,Pending,1036
Jun-13,"771,125","136,699",17.84,2013-06-01,Imported from legacy system,Pending,1065
mar-10,"942,195","177,533",19.11,2010-03-01,Imported from legacy system,Pending,1026
NOV-09,"800,355","149,814",18.68,2009-11-01,Imported from legacy system,Pending,1022
aug-10,"839,950","159,475",19.02,2010-08-01,Imported from legacy system,Pending,1031
DEC-11,"862,589","165,337",18.67,2011-12-01,Imported from legacy system,Pending,1047
 may-14 ,"804,720","142,664",17.91, 2014-05-01 ,Imported from legacy system,Pending,1076
Apr-09,"881,780","167,479",19.05,2009-04-01,Imported from legacy system,Pending,1015
 Sep-11 ,"832,384","156,853",18.82, 2011-09-01 ,Imported from legacy system,Pending,1044
Jun-15,"768,724","137,780",17.92,2015-06-01,Imported from legacy system,Pending,1089
Jul-15,"778,769","138,295",17.76,2015-07-01,Imported from legacy system,Pending,1090
Oct-08,"880,950","165,566",18.98,2008-10-01,Imported from legacy system,Pending,1009
Oct-10,"864,873","161,547",19.01,2010-10-01,Imported from legacy system,Pending,1033
Aug-12,"836,246","152,842",18.38,2012-08-01,Imported from legacy system,Pending,1055
Oct-13,"786,769","136,775",17.54,2013-10-01,Imported from legacy system,Pending,1069
 May-10 ,"866,921","163,019",18.93, 2010-05-01 ,Imported from legacy system,Pending,1028
 May-11 ,"873,712","164,856",18.86, 2011-05-01 ,Imported from legacy system,Pending,1040
Jun-08,"839,659","159,879",18.89,2008-06-01,Imported from legacy system,Pending,1005
Jun-12,"816,450","151,309",18.35,2012-06-01,Imported from legacy system,Pending,1053
MAR-13,"851,633","152,395",18.0,2013-03-01,Imported from legacy system,Pending,1062
Apr-11,"874,945","165,010",18.97,2011-04-01,Imported from legacy system,Pending,1039
Dec-10,"880,714","171,192",18.77,2010-12-01,Imported from legacy system,Pending,1035
 may-09 ,"861,001","162,913",18.99, 2009-05-01 ,Imported from legacy system,Pending,1016
Apr-08,"905,984","171,567",18.94,2008-04-01,Imported from legacy system,Pending,1003
Nov-10,"828,111","155,420",18.68,2010-11-01,Imported from legacy system,Pending,1034
AUG-13,"798,634","142,413",17.92,2013-08-01,Imported from legacy system,Pending,1067
AUG-08,"844,495","159,695",19.05,2008-08-01,Imported from legacy system,Pending,1007
Aug-11,"847,212","159,460",18.92,2011-08-01,Imported from legacy system,Pending,1043
jul-13,"787,185","141,025",17.73,2013-07-01,Imported from legacy system,Pending,1066
Feb-14,"740,487","131,056",17.77,2014-02-01,Imported from legacy system,Pending,1073
APR-10,"880,756","166,706",18.84,2010-04-01,Imported from legacy system,Pending,1027
Aug-09,"816,421","153,423",18.92,2009-08-01,Imported from legacy system,Pending,1019
 May-15 ,"784,373","139,145",17.74, 2015-05-01 ,Imported from legacy system,Pending,1088
Oct-15,"784,748","136,052",17.34,2015-10-01,Imported from legacy system,Pending,1093
Feb-10,"825,962","157,839",18.82,2010-02-01,Imported from legacy system,Pending,1025
 Sep-08 ,"817,662","155,218",18.91, 2008-09-01 ,Imported from legacy system,Pending,1008
 Jan-08 ,"935,886","181,225",19.36, 2008-01-01 ,Imported from legacy system,Pending,1000
Feb-12,"843,644","157,885",18.61,2012-02-01,Imported from legacy system,Pending,1049
Feb-09,"836,110","161,382",19.18,2009-02-01,Imported from legacy system,Pending,1013
JUN-14,"757,449","135,259",17.73,2014-06-01,Imported from legacy system,Pending,1077
 Jan-10 ,"883,740","166,328",19.31, 2010-01-01 ,Imported from legacy system,Pending,1024
Apr-08,"905,984","171,567",18.94,2008-04-01,Imported from legacy system,Pending,1003
JUN-09,"848,620","161,625",18.92,2009-06-01,Imported from legacy system,Pending,1017
Mar-11,"942,221","178,707",19.12,2011-03-01,Imported from legacy system,Pending,1038
Feb-15,"753,437","134,403",17.84,2015-02-01,Imported from legacy system,Pending,1085
jul-08,"859,820","163,771",19.04,2008-07-01,Imported from legacy system,Pending,1006
 May-08 ,"893,809","168,860",18.94, 2008-05-01 ,Imported from legacy system,Pending,1004
Dec-15,"785,965","142,147",18.09,2015-12-01,Imported from legacy system,Pending,1095
aug-15,"745,295","132,209",17.74,2015-08-01,Imported from legacy system,Pending,1091
Jul-12,"804,633","147,893",18.53,2012-07-01,Imported from legacy system,Pending,1054
Mar-12,"914,945","167,562",18.71,2012-03-01,Imported from legacy system,Pending,1050
Mar-16,"838,004","147,940",17.65,2016-03-01,Imported from legacy system,Pending,1098
nov-11,"821,254","153,367",18.48,2011-11-01,Imported from legacy system,Pending,1046
Dec-14,"829,321","153,131",17.76,2014-12-01,Imported from legacy system,Pending,1083
feb-13,"788,370","141,877",17.91,2013-02-01,Imported from legacy system,Pending,1061
jul-08,"859,820","163,771",19.04,2008-07-01,Imported from legacy system,Pending,1006
 May-16 ,"769,173","134,195",17.45, 2016-05-01 ,Imported from legacy system,Pending,1100
jun-11,"851,448","160,531",18.87,2011-06-01,Imported from legacy system,Pending,1041
Nov-12,"806,387","146,140",17.85,2012-11-01,Imported from legacy system,Pending,1058
 Jan-12 ,"885,655","164,805",19.17, 2012-01-01 ,Imported from legacy system,Pending,1048
Nov-15,"726,261","127,902",17.61,2015-11-01,Imported from legacy system,Pending,1094
OCT-12,"833,277","148,709",18.05,2012-10-01,Imported from legacy system,Pending,1057
Apr-14,"794,472","142,307",17.79,2014-04-01,Imported from legacy system,Pending,1075
 SEP-10 ,"834,773","158,679",18.99, 2010-09-01 ,Imported from legacy system,Pending,1032
MAR-08,"941,802","178,382",19.14,2008-03-01,Imported from legacy system,Pending,1002
Dec-12,"840,028","157,820",18.12,2012-12-01,Imported from legacy system,Pending,1059
Apr-13,"822,295","145,721",17.89,2013-04-01,Imported from legacy system,Pending,1063
AUG-08,"844,495","159,695",19.05,2008-08-01,Imported from legacy system,Pending,1007
FEB-11,"841,340","160,881",18.96,2011-02-01,Imported from legacy system,Pending,1037
Jun-10,"850,681","163,454",18.8,2010-06-01,Imported from legacy system,Pending,1029
