Service_Month,Index_Stays,Readmission_Stays,Readmission_Rate,Service_Month_Date,Import_Note,Review_Status,Batch_ID,Patient_Education_Program_Status
14-Jul,"773,951","138,414",17.86,7/1/2014,Imported from legacy system,Pending,1078,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
14-Aug,"762,879","135,873",17.88,8/1/2014,Imported from legacy system,Pending,1079,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
14-Oct,"795,847","138,966",17.78,10/1/2014,Imported from legacy system,Pending,1081,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
13-Nov,"749,715","130,969",17.38,11/1/2013,Imported from legacy system,Pending,1070,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
13-Jun,"771,125","136,699",17.84,6/1/2013,Imported from legacy system,Pending,1065,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
15-Jun,"768,724","137,780",17.92,6/1/2015,Imported from legacy system,Pending,1089,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
15-Jul,"778,769","138,295",17.76,7/1/2015,Imported from legacy system,Pending,1090,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
12-Aug,"836,246","152,842",18.38,8/1/2012,Imported from legacy system,Pending,1055,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
13-Oct,"786,769","136,775",17.54,10/1/2013,Imported from legacy system,Pending,1069,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
12-Jun,"816,450","151,309",18.35,6/1/2012,Imported from legacy system,Pending,1053,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
13-Mar,"851,633","152,395",18,3/1/2013,Imported from legacy system,Pending,1062,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
13-Aug,"798,634","142,413",17.92,8/1/2013,Imported from legacy system,Pending,1067,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
13-Jul,"787,185","141,025",17.73,7/1/2013,Imported from legacy system,Pending,1066,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
14-Feb,"740,487","131,056",17.77,2/1/2014,Imported from legacy system,Pending,1073,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
15-Oct,"784,748","136,052",17.34,10/1/2015,Imported from legacy system,Pending,1093,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
12-Feb,"843,644","157,885",18.61,2/1/2012,Imported from legacy system,Pending,1049,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
14-Jun,"757,449","135,259",17.73,6/1/2014,Imported from legacy system,Pending,1077,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
15-Feb,"753,437","134,403",17.84,2/1/2015,Imported from legacy system,Pending,1085,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
15-Dec,"785,965","142,147",18.09,12/1/2015,Imported from legacy system,Pending,1095,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
15-Aug,"745,295","132,209",17.74,8/1/2015,Imported from legacy system,Pending,1091,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
12-Jul,"804,633","147,893",18.53,7/1/2012,Imported from legacy system,Pending,1054,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
12-Mar,"914,945","167,562",18.71,3/1/2012,Imported from legacy system,Pending,1050,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
14-Dec,"829,321","153,131",17.76,12/1/2014,Imported from legacy system,Pending,1083,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
13-Feb,"788,370","141,877",17.91,2/1/2013,Imported from legacy system,Pending,1061,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
