"Service_Month";"Index_Stays";"Readmission_Stays";"Readmission_Rate";"Service_Month_Date"
"Jan-08";935886;181225;19.36;"2008-01-01"
"Feb-08";931485;178331;19.36;"2008-02-01"
"Mar-08";941802;178382;19.14;"2008-03-01"
"Apr-08";905984;171567;18.94;"2008-04-01"
"May-08";893809;168860;18.94;"2008-05-01"
"Jun-08";839659;159879;18.89;"2008-06-01"
"Jul-08";859820;163771;19.04;"2008-07-01"
"Aug-08";844495;159695;19.05;"2008-08-01"
"Sep-08";817662;155218;18.91;"2008-09-01"
"Oct-08";880950;165566;18.98;"2008-10-01"
"Nov-08";809180;152846;18.79;"2008-11-01"
"Dec-08";876942;171304;18.89;"2008-12-01"
"Jan-09";906141;173816;19.53;"2009-01-01"
"Feb-09";836110;161382;19.18;"2009-02-01"
"Mar-09";916021;174510;19.3;"2009-03-01"
"Apr-09";881780;167479;19.05;"2009-04-01"
"May-09";861001;162913;18.99;"2009-05-01"
"Jun-09";848620;161625;18.92;"2009-06-01"
"Jul-09";860252;162771;19.05;"2009-07-01"
"Aug-09";816421;153423;18.92;"2009-08-01"
"Sep-09";818412;155529;18.79;"2009-09-01"
"Oct-09";868853;162329;19.0;"2009-10-01"
"Nov-09";800355;149814;18.68;"2009-11-01"
"Dec-09";858009;165647;18.72;"2009-12-01"
"Jan-10";883740;166328;19.31;"2010-01-01"
"Feb-10";825962;157839;18.82;"2010-02-01"
"Mar-10";942195;177533;19.11;"2010-03-01"
"Apr-10";880756;166706;18.84;"2010-04-01"
"May-10";866921;163019;18.93;"2010-05-01"
"Jun-10";850681;163454;18.8;"2010-06-01"
"Jul-10";859616;163480;19.21;"2010-07-01"
"Aug-10";839950;159475;19.02;"2010-08-01"
"Sep-10";834773;158679;18.99;"2010-09-01"
"Oct-10";864873;161547;19.01;"2010-10-01"
"Nov-10";828111;155420;18.68;"2010-11-01"
"Dec-10";880714;171192;18.77;"2010-12-01"
"Jan-11";908858;172361;19.44;"2011-01-01"
"Feb-11";841340;160881;18.96;"2011-02-01"
"Mar-11";942221;178707;19.12;"2011-03-01"
"Apr-11";874945;165010;18.97;"2011-04-01"
"May-11";873712;164856;18.86;"2011-05-01"
"Jun-11";851448;160531;18.87;"2011-06-01"
"Jul-11";828706;156830;18.85;"2011-07-01"
"Aug-11";847212;159460;18.92;"2011-08-01"
"Sep-11";832384;156853;18.82;"2011-09-01"
"Oct-11";843049;155792;18.84;"2011-10-01"
"Nov-11";821254;153367;18.48;"2011-11-01"
"Dec-11";862589;165337;18.67;"2011-12-01"
"Jan-12";885655;164805;19.17;"2012-01-01"
"Feb-12";843644;157885;18.61;"2012-02-01"
"Mar-12";914945;167562;18.71;"2012-03-01"
"Apr-12";826548;151806;18.31;"2012-04-01"
"May-12";850873;156176;18.37;"2012-05-01"
"Jun-12";816450;151309;18.35;"2012-06-01"
"Jul-12";804633;147893;18.53;"2012-07-01"
"Aug-12";836246;152842;18.38;"2012-08-01"
"Sep-12";778407;140489;18.28;"2012-09-01"
"Oct-12";833277;148709;18.05;"2012-10-01"
"Nov-12";806387;146140;17.85;"2012-11-01"
"Dec-12";840028;157820;18.12;"2012-12-01"
"Jan-13";924259;165489;18.79;"2013-01-01"
"Feb-13";788370;141877;17.91;"2013-02-01"
"Mar-13";851633;152395;18.0;"2013-03-01"
"Apr-13";822295;145721;17.89;"2013-04-01"
"May-13";827477;147583;17.72;"2013-05-01"
"Jun-13";771125;136699;17.84;"2013-06-01"
"Jul-13";787185;141025;17.73;"2013-07-01"
"Aug-13";798634;142413;17.92;"2013-08-01"
"Sep-13";748034;131179;17.83;"2013-09-01"
"Oct-13";786769;136775;17.54;"2013-10-01"
"Nov-13";749715;130969;17.38;"2013-11-01"
"Dec-13";774558;141060;17.47;"2013-12-01"
"Jan-14";838098;148911;18.21;"2014-01-01"
"Feb-14";740487;131056;17.77;"2014-02-01"
"Mar-14";801741;142626;17.7;"2014-03-01"
"Apr-14";794472;142307;17.79;"2014-04-01"
"May-14";804720;142664;17.91;"2014-05-01"
"Jun-14";757449;135259;17.73;"2014-06-01"
"Jul-14";773951;138414;17.86;"2014-07-01"
"Aug-14";762879;135873;17.88;"2014-08-01"
"Sep-14";747180;132855;17.81;"2014-09-01"
"Oct-14";795847;138966;17.78;"2014-10-01"
"Nov-14";722766;128366;17.46;"2014-11-01"
"Dec-14";829321;153131;17.76;"2014-12-01"
"Jan-15";873673;153700;17.59;"2015-01-01"
"Feb-15";753437;134403;17.84;"2015-02-01"
"Mar-15";828487;147271;17.78;"2015-03-01"
"Apr-15";803085;142164;17.7;"2015-04-01"
"May-15";784373;139145;17.74;"2015-05-01"
"Jun-15";768724;137780;17.92;"2015-06-01"
"Jul-15";778769;138295;17.76;"2015-07-01"
"Aug-15";745295;132209;17.74;"2015-08-01"
"Sep-15";745365;132845;17.82;"2015-09-01"
"Oct-15";784748;136052;17.34;"2015-10-01"
"Nov-15";726261;127902;17.61;"2015-11-01"
"Dec-15";785965;142147;18.09;"2015-12-01"
"Jan-16";795097;139270;17.52;"2016-01-01"
"Feb-16";772434;137234;17.77;"2016-02-01"
"Mar-16";838004;147940;17.65;"2016-03-01"
"Apr-16";787893;136296;17.3;"2016-04-01"
"May-16";769173;134195;17.45;"2016-05-01"
