service_month,index_stays,readmission_stays,readmission_rate,service_month_date,Patient_Education_Program_Status
8-Jan,935886,181225,19.36,1/1/2008,Pre-program period
8-Feb,931485,178331,19.14,2/1/2008,Pre-program period
8-Mar,941802,178382,18.94,3/1/2008,Pre-program period
8-Apr,905984,171567,18.94,4/1/2008,Pre-program period
8-May,893809,168860,18.89,5/1/2008,Pre-program period
8-Jun,839659,159879,19.04,6/1/2008,Pre-program period
8-Jul,859820,163771,19.05,7/1/2008,Pre-program period
8-Aug,844495,159695,18.91,8/1/2008,Pre-program period
8-Sep,817662,155218,18.98,9/1/2008,Pre-program period
8-Oct,880950,165566,18.79,10/1/2008,Pre-program period
8-Nov,809180,152846,18.89,11/1/2008,Pre-program period
8-Dec,876942,171304,19.53,12/1/2008,Pre-program period
9-Jan,906141,173816,19.18,1/1/2009,Pre-program period
9-Feb,836110,161382,19.3,2/1/2009,Pre-program period
9-Mar,916021,174510,19.05,3/1/2009,Pre-program period
9-Apr,881780,167479,18.99,4/1/2009,Pre-program period
9-May,861001,162913,18.92,5/1/2009,Pre-program period
9-Jun,848620,161625,19.05,6/1/2009,Pre-program period
9-Jul,860252,162771,18.92,7/1/2009,Pre-program period
9-Aug,816421,153423,18.79,8/1/2009,Pre-program period
9-Sep,818412,155529,19,9/1/2009,Pre-program period
9-Oct,868853,162329,18.68,10/1/2009,Pre-program period
9-Nov,800355,149814,18.72,11/1/2009,Pre-program period
9-Dec,858009,165647,19.31,12/1/2009,Pre-program period
10-Jan,883740,166328,18.82,1/1/2010,Pre-program period
10-Feb,825962,157839,19.11,2/1/2010,Pre-program period
10-Mar,942195,177533,18.84,3/1/2010,Pre-program period
10-Apr,880756,166706,18.93,4/1/2010,Pre-program period
10-May,866921,163019,18.8,5/1/2010,Pre-program period
10-Jun,850681,163454,19.21,6/1/2010,Pre-program period
10-Jul,859616,163480,19.02,7/1/2010,Pre-program period
10-Aug,839950,159475,18.99,8/1/2010,Pre-program period
10-Sep,834773,158679,19.01,9/1/2010,Pre-program period
10-Oct,864873,161547,18.68,10/1/2010,Pre-program period
10-Nov,828111,155420,18.77,11/1/2010,Pre-program period
10-Dec,880714,171192,19.44,12/1/2010,Pre-program period
11-Jan,908858,172361,18.96,1/1/2011,Pre-program period
11-Feb,841340,160881,19.12,2/1/2011,Pre-program period
11-Mar,942221,178707,18.97,3/1/2011,Pre-program period
11-Apr,874945,165010,18.86,4/1/2011,Pre-program period
11-May,873712,164856,18.87,5/1/2011,Pre-program period
11-Jun,851448,160531,18.85,6/1/2011,Pre-program period
11-Jul,828706,156830,18.92,7/1/2011,Pre-program period
11-Aug,847212,159460,18.82,8/1/2011,Pre-program period
11-Sep,832384,156853,18.84,9/1/2011,Pre-program period
11-Oct,843049,155792,18.48,10/1/2011,Pre-program period
11-Nov,821254,153367,18.67,11/1/2011,Pre-program period
11-Dec,862589,165337,19.17,12/1/2011,Pre-program period
12-Jan,885655,164805,18.61,1/1/2012,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
12-Feb,843644,157885,18.71,2/1/2012,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
12-Mar,914945,167562,18.31,3/1/2012,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
12-Apr,826548,151806,18.37,4/1/2012,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
12-May,850873,156176,18.35,5/1/2012,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
12-Jun,816450,151309,18.53,6/1/2012,"Patient education programs active (Weight Watchers referrals, diabetes management education, lifestyle coaching)"
